Category,Tool,Tool Description,Accuracy,Speed,Energy Efficiency,Carbon Footprint,Waste Reduction,Energy Consumption,Resource Efficiency,Water Usage,Lifetime Durability
Eco-Friendly Data Processing,Eco-Friendly Data Processing_Tool_14,Description of Eco-Friendly Data Processing tool 14,5.57,7.56,5.73,5.27,4.04,5.27,5.73,2.38,8.7
Eco-Friendly Data Processing,Eco-Friendly Data Processing_Tool_15,Description of Eco-Friendly Data Processing tool 15,7.35,7.61,5.83,5.17,4.87,5.17,5.83,1.78,8.65
Eco-Friendly Data Processing,Eco-Friendly Data Processing_Tool_16,Description of Eco-Friendly Data Processing tool 16,7.26,6.89,6.52,4.48,6.22,4.48,6.52,2.16,8.96
Eco-Friendly Data Processing,Eco-Friendly Data Processing_Tool_17,Description of Eco-Friendly Data Processing tool 17,6.83,6.44,5.96,5.04,9.09,5.04,5.96,1.92,8.37
Eco-Friendly Data Processing,Eco-Friendly Data Processing_Tool_18,Description of Eco-Friendly Data Processing tool 18,7.45,6.31,6.07,4.93,3.43,4.93,6.07,1.73,9.6
Eco-Friendly Data Processing,Eco-Friendly Data Processing_Tool_19,Description of Eco-Friendly Data Processing tool 19,8.69,7.07,5.67,5.33,4.35,5.33,5.67,1.99,7.51
Eco-Friendly Data Processing,Eco-Friendly Data Processing_Tool_20,Description of Eco-Friendly Data Processing tool 20,8.29,7.63,5.62,5.38,7.57,5.38,5.62,1.94,7.57
Eco-Friendly Data Processing,Eco-Friendly Data Processing_Tool_21,Description of Eco-Friendly Data Processing tool 21,8.15,8.4,6.94,4.06,7.24,4.06,6.94,2.47,9.33
Eco-Friendly Data Processing,Eco-Friendly Data Processing_Tool_22,Description of Eco-Friendly Data Processing tool 22,6.93,6.59,6.17,4.83,6.76,4.83,6.17,2.13,8.44
Eco-Friendly Data Processing,Eco-Friendly Data Processing_Tool_23,Description of Eco-Friendly Data Processing tool 23,6.79,7.25,6.55,4.45,9.65,4.45,6.55,2.79,8.52
Eco-Friendly Data Processing,Eco-Friendly Data Processing_Tool_24,Description of Eco-Friendly Data Processing tool 24,6.49,7.76,5.78,5.22,5.92,5.22,5.78,2.13,7.65
Eco-Friendly Data Processing,Eco-Friendly Data Processing_Tool_25,Description of Eco-Friendly Data Processing tool 25,8.3,9.75,6.48,4.52,3.25,4.52,6.48,1.71,8.3
Eco-Friendly Data Processing,Eco-Friendly Data Processing_Tool_26,Description of Eco-Friendly Data Processing tool 26,7.29,7.28,5.79,5.21,5.59,5.21,5.79,1.64,8.04
Eco-Friendly Data Processing,Eco-Friendly Data Processing_Tool_27,Description of Eco-Friendly Data Processing tool 27,7.48,7.94,6.03,4.97,7.94,4.97,6.03,2.71,7.55
Eco-Friendly Data Processing,Eco-Friendly Data Processing_Tool_28,Description of Eco-Friendly Data Processing tool 28,6.38,6.55,6.72,4.28,7.26,4.28,6.72,1.71,8.16
Eco-Friendly Data Processing,Eco-Friendly Data Processing_Tool_29,Description of Eco-Friendly Data Processing tool 29,6.92,6.84,6.44,4.56,6.03,4.56,6.44,2.33,8.06
Eco-Friendly Data Processing,Eco-Friendly Data Processing_Tool_30,Description of Eco-Friendly Data Processing tool 30,6.02,5.2,6.49,4.51,7.1,4.51,6.49,2.47,8.6
Smart Grid AI,Smart Grid AI_Tool_1,Description of Smart Grid AI tool 1,7.8,7.56,5.79,5.21,6.81,5.21,5.79,2.25,9.42
Smart Grid AI,Smart Grid AI_Tool_2,Description of Smart Grid AI tool 2,7.2,5.72,5.91,5.09,4.02,5.09,5.91,1.62,8.29
Smart Grid AI,Smart Grid AI_Tool_3,Description of Smart Grid AI tool 3,7.63,6.31,5.93,5.07,5.47,5.07,5.93,1.81,8.8
Smart Grid AI,Smart Grid AI_Tool_4,Description of Smart Grid AI tool 4,7.19,6.37,6.01,4.99,6.05,4.99,6.01,1.87,7.92
Smart Grid AI,Smart Grid AI_Tool_5,Description of Smart Grid AI tool 5,5.95,7.07,6.08,4.92,6.33,4.92,6.08,1.9,8.75
Smart Grid AI,Smart Grid AI_Tool_6,Description of Smart Grid AI tool 6,7.19,8.74,6.13,4.87,9.66,4.87,6.13,2.88,8.54
Smart Grid AI,Smart Grid AI_Tool_7,Description of Smart Grid AI tool 7,7.37,8.01,5.66,5.34,7.95,5.34,5.66,2.11,7.83
Smart Grid AI,Smart Grid AI_Tool_8,Description of Smart Grid AI tool 8,8.67,7.58,6.33,4.67,5.24,4.67,6.33,2.26,9.67
Smart Grid AI,Smart Grid AI_Tool_9,Description of Smart Grid AI tool 9,9.06,7.97,6.4,4.6,9.39,4.6,6.4,2.04,8.75
Smart Grid AI,Smart Grid AI_Tool_10,Description of Smart Grid AI tool 10,8.43,8.39,6.15,4.85,6.45,4.85,6.15,1.71,9.98
Smart Grid AI,Smart Grid AI_Tool_11,Description of Smart Grid AI tool 11,8.69,9.68,5.79,5.21,8.96,5.21,5.79,1.75,9.24
Smart Grid AI,Smart Grid AI_Tool_12,Description of Smart Grid AI tool 12,9.83,8.5,5.76,5.24,5.71,5.24,5.76,2.34,9.5
Smart Grid AI,Smart Grid AI_Tool_13,Description of Smart Grid AI tool 13,5.93,7.71,5.75,5.25,8.47,5.25,5.75,1.96,8.68
Smart Grid AI,Smart Grid AI_Tool_14,Description of Smart Grid AI tool 14,8.7,6.15,5.85,5.15,5.13,5.15,5.85,2.13,8.29
Smart Grid AI,Smart Grid AI_Tool_15,Description of Smart Grid AI tool 15,9.18,5.53,5.88,5.12,9.19,5.12,5.88,1.71,8.24
Smart Grid AI,Smart Grid AI_Tool_16,Description of Smart Grid AI tool 16,6.04,7.75,5.87,5.13,3.42,5.13,5.87,1.93,7.9
Smart Grid AI,Smart Grid AI_Tool_17,Description of Smart Grid AI tool 17,7.06,6.54,5.89,5.11,8.47,5.11,5.89,2.05,7.53
Smart Grid AI,Smart Grid AI_Tool_18,Description of Smart Grid AI tool 18,8.32,6.27,6.14,4.86,5.53,4.86,6.14,1.88,8.0
Smart Grid AI,Smart Grid AI_Tool_19,Description of Smart Grid AI tool 19,7.73,9.06,6.31,4.69,3.46,4.69,6.31,2.21,8.42
Smart Grid AI,Smart Grid AI_Tool_20,Description of Smart Grid AI tool 20,7.26,9.21,5.7,5.3,5.59,5.3,5.7,1.8,8.03
Smart Grid AI,Smart Grid AI_Tool_21,Description of Smart Grid AI tool 21,6.71,7.31,6.6,4.4,8.8,4.4,6.6,1.77,7.33
Smart Grid AI,Smart Grid AI_Tool_22,Description of Smart Grid AI tool 22,7.35,8.47,5.81,5.19,3.6,5.19,5.81,2.05,8.83
Smart Grid AI,Smart Grid AI_Tool_23,Description of Smart Grid AI tool 23,6.32,6.71,5.85,5.15,9.76,5.15,5.85,2.29,8.6
Smart Grid AI,Smart Grid AI_Tool_24,Description of Smart Grid AI tool 24,7.53,6.6,5.62,5.38,6.43,5.38,5.62,2.66,8.83
Smart Grid AI,Smart Grid AI_Tool_25,Description of Smart Grid AI tool 25,8.17,9.43,5.83,5.17,9.1,5.17,5.83,1.75,8.19
Smart Grid AI,Smart Grid AI_Tool_26,Description of Smart Grid AI tool 26,7.27,8.95,5.64,5.36,5.36,5.36,5.64,2.08,7.97
Smart Grid AI,Smart Grid AI_Tool_27,Description of Smart Grid AI tool 27,6.71,8.22,5.85,5.15,4.46,5.15,5.85,1.76,8.28
Smart Grid AI,Smart Grid AI_Tool_28,Description of Smart Grid AI tool 28,7.11,8.58,5.55,5.45,9.07,5.45,5.55,1.66,7.97
Smart Grid AI,Smart Grid AI_Tool_29,Description of Smart Grid AI tool 29,9.0,7.61,6.03,4.97,7.71,4.97,6.03,2.29,7.99
Smart Grid AI,Smart Grid AI_Tool_30,Description of Smart Grid AI tool 30,5.54,7.74,5.57,5.43,6.14,5.43,5.57,2.6,7.66
Waste Management AI,Waste Management AI_Tool_1,Description of Waste Management AI tool 1,6.57,5.66,5.94,5.06,8.3,5.06,5.94,2.54,9.96
Waste Management AI,Waste Management AI_Tool_2,Description of Waste Management AI tool 2,6.33,7.25,6.53,4.47,3.9,4.47,6.53,1.74,10
Waste Management AI,Waste Management AI_Tool_3,Description of Waste Management AI tool 3,7.06,7.92,5.66,5.34,8.87,5.34,5.66,1.59,7.31
Waste Management AI,Waste Management AI_Tool_4,Description of Waste Management AI tool 4,7.76,6.8,5.95,5.05,4.87,5.05,5.95,2.67,8.0
Waste Management AI,Waste Management AI_Tool_5,Description of Waste Management AI tool 5,6.96,7.73,5.81,5.19,8.34,5.19,5.81,1.94,8.51
Waste Management AI,Waste Management AI_Tool_6,Description of Waste Management AI tool 6,9.07,6.74,5.64,5.36,7.46,5.36,5.64,1.95,7.58
Waste Management AI,Waste Management AI_Tool_7,Description of Waste Management AI tool 7,8.71,9.05,5.84,5.16,5.84,5.16,5.84,2.2,9.03
Waste Management AI,Waste Management AI_Tool_8,Description of Waste Management AI tool 8,9.76,6.33,5.96,5.04,6.46,5.04,5.96,1.73,8.31
Waste Management AI,Waste Management AI_Tool_9,Description of Waste Management AI tool 9,7.09,8.51,5.71,5.29,3.35,5.29,5.71,1.98,8.6
Waste Management AI,Waste Management AI_Tool_10,Description of Waste Management AI tool 10,9.53,5.9,6.51,4.49,4.14,4.49,6.51,1.81,8.98
Waste Management AI,Waste Management AI_Tool_11,Description of Waste Management AI tool 11,6.15,6.67,5.8,5.2,4.19,5.2,5.8,2.45,9.13
Waste Management AI,Waste Management AI_Tool_12,Description of Waste Management AI tool 12,6.96,8.55,5.96,5.04,9.78,5.04,5.96,1.8,9.79
Waste Management AI,Waste Management AI_Tool_13,Description of Waste Management AI tool 13,5.82,7.96,5.51,5.49,7.27,5.49,5.51,2.05,8.77
Waste Management AI,Waste Management AI_Tool_14,Description of Waste Management AI tool 14,10,5.74,6.35,4.65,5.1,4.65,6.35,2.26,8.43
Waste Management AI,Waste Management AI_Tool_15,Description of Waste Management AI tool 15,6.37,6.32,5.77,5.23,8.75,5.23,5.77,1.89,7.66
Waste Management AI,Waste Management AI_Tool_16,Description of Waste Management AI tool 16,9.27,5.88,6.25,4.75,4.86,4.75,6.25,2.19,8.65
Waste Management AI,Waste Management AI_Tool_17,Description of Waste Management AI tool 17,7.53,6.16,5.77,5.23,8.72,5.23,5.77,2.44,7.27
Waste Management AI,Waste Management AI_Tool_18,Description of Waste Management AI tool 18,7.6,7.73,5.95,5.05,8.35,5.05,5.95,2.24,9.74
Waste Management AI,Waste Management AI_Tool_19,Description of Waste Management AI tool 19,6.43,6.91,5.95,5.05,4.56,5.05,5.95,2.28,8.59
Waste Management AI,Waste Management AI_Tool_20,Description of Waste Management AI tool 20,8.81,5.24,6.05,4.95,5.23,4.95,6.05,2.23,8.09
Waste Management AI,Waste Management AI_Tool_21,Description of Waste Management AI tool 21,5.18,6.83,6.27,4.73,6.46,4.73,6.27,1.92,7.66
Waste Management AI,Waste Management AI_Tool_22,Description of Waste Management AI tool 22,7.42,7.24,5.91,5.09,9.08,5.09,5.91,1.97,9.71
Waste Management AI,Waste Management AI_Tool_23,Description of Waste Management AI tool 23,9.13,5.22,5.99,5.01,4.69,5.01,5.99,2.1,8.19
Waste Management AI,Waste Management AI_Tool_24,Description of Waste Management AI tool 24,6.77,8.3,5.75,5.25,4.79,5.25,5.75,2.3,8.77
Waste Management AI,Waste Management AI_Tool_25,Description of Waste Management AI tool 25,6.74,8.03,6.32,4.68,6.99,4.68,6.32,1.58,8.39
Waste Management AI,Waste Management AI_Tool_26,Description of Waste Management AI tool 26,8.11,7.48,6.68,4.32,7.67,4.32,6.68,3.18,8.85
Waste Management AI,Waste Management AI_Tool_27,Description of Waste Management AI tool 27,8.52,7.15,5.64,5.36,3.48,5.36,5.64,2.14,9.77
Waste Management AI,Waste Management AI_Tool_28,Description of Waste Management AI tool 28,5.24,7.12,6.04,4.96,3.11,4.96,6.04,2.14,8.35
Waste Management AI,Waste Management AI_Tool_29,Description of Waste Management AI tool 29,6.3,6.8,5.7,5.3,8.04,5.3,5.7,2.23,7.98
Waste Management AI,Waste Management AI_Tool_30,Description of Waste Management AI tool 30,8.04,7.91,6.67,4.33,5.42,4.33,6.67,1.92,8.59
Renewable Energy AI,Renewable Energy AI_Tool_1,Description of Renewable Energy AI tool 1,7.81,9.83,6.26,4.74,3.98,4.74,6.26,1.6,7.46
Renewable Energy AI,Renewable Energy AI_Tool_2,Description of Renewable Energy AI tool 2,6.34,7.71,6.02,4.98,8.3,4.98,6.02,2.12,7.83
Renewable Energy AI,Renewable Energy AI_Tool_3,Description of Renewable Energy AI tool 3,8.76,8.61,5.86,5.14,4.55,5.14,5.86,2.58,8.4
Renewable Energy AI,Renewable Energy AI_Tool_4,Description of Renewable Energy AI tool 4,8.11,7.96,6.07,4.93,7.79,4.93,6.07,1.79,8.2
Renewable Energy AI,Renewable Energy AI_Tool_5,Description of Renewable Energy AI tool 5,8.76,8.0,6.02,4.98,5.03,4.98,6.02,2.81,9.3
Renewable Energy AI,Renewable Energy AI_Tool_6,Description of Renewable Energy AI tool 6,7.04,5.26,6.1,4.9,4.82,4.9,6.1,2.1,8.43
Renewable Energy AI,Renewable Energy AI_Tool_7,Description of Renewable Energy AI tool 7,6.67,7.64,6.18,4.82,4.02,4.82,6.18,1.7,8.79
Renewable Energy AI,Renewable Energy AI_Tool_8,Description of Renewable Energy AI tool 8,7.07,7.54,5.95,5.05,3.12,5.05,5.95,2.56,7.65
Renewable Energy AI,Renewable Energy AI_Tool_9,Description of Renewable Energy AI tool 9,6.6,5.79,6.01,4.99,6.33,4.99,6.01,1.74,9.02
Renewable Energy AI,Renewable Energy AI_Tool_10,Description of Renewable Energy AI tool 10,7.72,5,5.96,5.04,4.27,5.04,5.96,1.6,8.78
Renewable Energy AI,Renewable Energy AI_Tool_11,Description of Renewable Energy AI tool 11,5.31,7.45,5.95,5.05,9.69,5.05,5.95,2.22,7.88
Renewable Energy AI,Renewable Energy AI_Tool_12,Description of Renewable Energy AI tool 12,7.42,7.0,5.99,5.01,7.36,5.01,5.99,2.01,9.42
Renewable Energy AI,Renewable Energy AI_Tool_13,Description of Renewable Energy AI tool 13,9.05,10,7.63,3.37,7.02,3.37,7.63,2.0,8.52
Renewable Energy AI,Renewable Energy AI_Tool_14,Description of Renewable Energy AI tool 14,10,6.94,6.06,4.94,9.91,4.94,6.06,1.76,9.08
Renewable Energy AI,Renewable Energy AI_Tool_15,Description of Renewable Energy AI tool 15,7.63,7.62,5.83,5.17,5.95,5.17,5.83,1.65,8.8
Renewable Energy AI,Renewable Energy AI_Tool_16,Description of Renewable Energy AI tool 16,7.85,6.36,6.0,5.0,7.4,5.0,6.0,2.15,8.2
Renewable Energy AI,Renewable Energy AI_Tool_17,Description of Renewable Energy AI tool 17,8.53,8.52,5.84,5.16,5.74,5.16,5.84,2.27,8.18
Renewable Energy AI,Renewable Energy AI_Tool_18,Description of Renewable Energy AI tool 18,6.25,5.62,6.0,5.0,7.56,5.0,6.0,1.62,9.86
Renewable Energy AI,Renewable Energy AI_Tool_19,Description of Renewable Energy AI tool 19,6.87,7.93,6.34,4.66,4.85,4.66,6.34,1.71,8.89
Renewable Energy AI,Renewable Energy AI_Tool_20,Description of Renewable Energy AI tool 20,9.08,7.19,5.93,5.07,5.59,5.07,5.93,2.25,8.74
Renewable Energy AI,Renewable Energy AI_Tool_21,Description of Renewable Energy AI tool 21,7.34,6.56,5.98,5.02,7.09,5.02,5.98,2.16,7.87
Renewable Energy AI,Renewable Energy AI_Tool_22,Description of Renewable Energy AI tool 22,7.57,8.43,6.15,4.85,5.84,4.85,6.15,2.19,8.53
Renewable Energy AI,Renewable Energy AI_Tool_23,Description of Renewable Energy AI tool 23,8.12,5.32,5.87,5.13,5.51,5.13,5.87,1.56,8.41
Renewable Energy AI,Renewable Energy AI_Tool_24,Description of Renewable Energy AI tool 24,8.91,6.51,6.34,4.66,8.89,4.66,6.34,2.71,9.21
Renewable Energy AI,Renewable Energy AI_Tool_25,Description of Renewable Energy AI tool 25,7.76,7.22,6.44,4.56,6.24,4.56,6.44,2.15,9.15
Renewable Energy AI,Renewable Energy AI_Tool_26,Description of Renewable Energy AI tool 26,8.81,7.97,6.14,4.86,9.95,4.86,6.14,1.95,8.93
Renewable Energy AI,Renewable Energy AI_Tool_27,Description of Renewable Energy AI tool 27,8.38,6.45,6.2,4.8,6.0,4.8,6.2,1.62,8.0
Renewable Energy AI,Renewable Energy AI_Tool_28,Description of Renewable Energy AI tool 28,8.66,7.98,6.12,4.88,8.72,4.88,6.12,2.05,8.18
Renewable Energy AI,Renewable Energy AI_Tool_29,Description of Renewable Energy AI tool 29,6.9,8.74,5.8,5.2,7.69,5.2,5.8,2.15,9.14
Renewable Energy AI,Renewable Energy AI_Tool_30,Description of Renewable Energy AI tool 30,8.66,8.05,5.73,5.27,8.84,5.27,5.73,2.23,7.28
Carbon Footprint Analytics,Carbon Footprint Analytics_Tool_1,Description of Carbon Footprint Analytics tool 1,6.83,8.55,6.26,4.74,6.14,4.74,6.26,2.31,7.42
Carbon Footprint Analytics,Carbon Footprint Analytics_Tool_2,Description of Carbon Footprint Analytics tool 2,10,6.8,6.39,4.61,8.51,4.61,6.39,1.95,7.87
Carbon Footprint Analytics,Carbon Footprint Analytics_Tool_3,Description of Carbon Footprint Analytics tool 3,8.43,7.27,6.52,4.48,8.1,4.48,6.52,1.7,8.24
Carbon Footprint Analytics,Carbon Footprint Analytics_Tool_4,Description of Carbon Footprint Analytics tool 4,8.75,5.74,6.69,4.31,4.59,4.31,6.69,1.95,8.45
Carbon Footprint Analytics,Carbon Footprint Analytics_Tool_5,Description of Carbon Footprint Analytics tool 5,5.28,7.48,6.0,5.0,9.84,5.0,6.0,2.59,7.46
Carbon Footprint Analytics,Carbon Footprint Analytics_Tool_6,Description of Carbon Footprint Analytics tool 6,7.44,6.84,5.98,5.02,8.2,5.02,5.98,1.78,7
Carbon Footprint Analytics,Carbon Footprint Analytics_Tool_7,Description of Carbon Footprint Analytics tool 7,10,5.51,6.08,4.92,5.83,4.92,6.08,1.94,7.72
Carbon Footprint Analytics,Carbon Footprint Analytics_Tool_8,Description of Carbon Footprint Analytics tool 8,6.85,7.66,6.17,4.83,3.43,4.83,6.17,1.91,8.09
Carbon Footprint Analytics,Carbon Footprint Analytics_Tool_9,Description of Carbon Footprint Analytics tool 9,7.79,8.93,6.07,4.93,9.39,4.93,6.07,1.88,9.89
Carbon Footprint Analytics,Carbon Footprint Analytics_Tool_10,Description of Carbon Footprint Analytics tool 10,9.68,7.18,5.77,5.23,9.43,5.23,5.77,2.21,7.87
Carbon Footprint Analytics,Carbon Footprint Analytics_Tool_11,Description of Carbon Footprint Analytics tool 11,8.08,6.04,6.51,4.49,3.32,4.49,6.51,2.42,9.29
Carbon Footprint Analytics,Carbon Footprint Analytics_Tool_12,Description of Carbon Footprint Analytics tool 12,6.73,7.88,6.14,4.86,5.28,4.86,6.14,1.86,9.09
Carbon Footprint Analytics,Carbon Footprint Analytics_Tool_13,Description of Carbon Footprint Analytics tool 13,9.24,6.64,5.91,5.09,5.48,5.09,5.91,1.89,7.12
Carbon Footprint Analytics,Carbon Footprint Analytics_Tool_14,Description of Carbon Footprint Analytics tool 14,6.93,9.71,6.13,4.87,6.15,4.87,6.13,2.13,9.18
Carbon Footprint Analytics,Carbon Footprint Analytics_Tool_15,Description of Carbon Footprint Analytics tool 15,5.39,7.66,6.14,4.86,3.32,4.86,6.14,1.89,8.25
Carbon Footprint Analytics,Carbon Footprint Analytics_Tool_16,Description of Carbon Footprint Analytics tool 16,7.58,5.73,5.64,5.36,8.42,5.36,5.64,2.86,9.99
Carbon Footprint Analytics,Carbon Footprint Analytics_Tool_17,Description of Carbon Footprint Analytics tool 17,8.67,8.28,5.68,5.32,3.85,5.32,5.68,2.29,7.97
Carbon Footprint Analytics,Carbon Footprint Analytics_Tool_18,Description of Carbon Footprint Analytics tool 18,5.79,7.74,5.79,5.21,3.47,5.21,5.79,2.34,10
Carbon Footprint Analytics,Carbon Footprint Analytics_Tool_19,Description of Carbon Footprint Analytics tool 19,8.09,8.4,5.82,5.18,5.95,5.18,5.82,1.75,7.81
Carbon Footprint Analytics,Carbon Footprint Analytics_Tool_20,Description of Carbon Footprint Analytics tool 20,7.17,6.48,6.46,4.54,6.39,4.54,6.46,1.89,8.46
Carbon Footprint Analytics,Carbon Footprint Analytics_Tool_21,Description of Carbon Footprint Analytics tool 21,5.26,6.93,5.78,5.22,9.94,5.22,5.78,1.96,8.37
Carbon Footprint Analytics,Carbon Footprint Analytics_Tool_22,Description of Carbon Footprint Analytics tool 22,8.36,9.01,5.75,5.25,5.22,5.25,5.75,1.82,9.45
Carbon Footprint Analytics,Carbon Footprint Analytics_Tool_23,Description of Carbon Footprint Analytics tool 23,10,7.62,5.66,5.34,9.5,5.34,5.66,2.38,9.11
Carbon Footprint Analytics,Carbon Footprint Analytics_Tool_24,Description of Carbon Footprint Analytics tool 24,8.0,8.1,5.96,5.04,8.63,5.04,5.96,1.64,8.21
Carbon Footprint Analytics,Carbon Footprint Analytics_Tool_25,Description of Carbon Footprint Analytics tool 25,7.72,8.55,5.72,5.28,5.92,5.28,5.72,1.71,9.82
Carbon Footprint Analytics,Carbon Footprint Analytics_Tool_26,Description of Carbon Footprint Analytics tool 26,7.12,7.2,5.94,5.06,8.45,5.06,5.94,1.64,8.48
Carbon Footprint Analytics,Carbon Footprint Analytics_Tool_27,Description of Carbon Footprint Analytics tool 27,7.26,8.25,5.83,5.17,3.95,5.17,5.83,1.88,9.03
Carbon Footprint Analytics,Carbon Footprint Analytics_Tool_28,Description of Carbon Footprint Analytics tool 28,7.28,5.71,5.69,5.31,7.1,5.31,5.69,1.88,9.06
Carbon Footprint Analytics,Carbon Footprint Analytics_Tool_29,Description of Carbon Footprint Analytics tool 29,7.27,5.17,6.3,4.7,9.31,4.7,6.3,2.25,8.21
Carbon Footprint Analytics,Carbon Footprint Analytics_Tool_30,Description of Carbon Footprint Analytics tool 30,8.58,7.4,5.87,5.13,6.49,5.13,5.87,2.09,8.52
Environmental Monitoring,Environmental Monitoring_Tool_1,Description of Environmental Monitoring tool 1,7.57,5.59,6.47,4.53,7.12,4.53,6.47,2.07,9.62
Environmental Monitoring,Environmental Monitoring_Tool_2,Description of Environmental Monitoring tool 2,8.51,7.83,6.42,4.58,7.44,4.58,6.42,2.19,8.63
Environmental Monitoring,Environmental Monitoring_Tool_3,Description of Environmental Monitoring tool 3,6.02,9.28,6.17,4.83,6.28,4.83,6.17,1.54,8.16
Environmental Monitoring,Environmental Monitoring_Tool_4,Description of Environmental Monitoring tool 4,9.12,9.11,5.82,5.18,9.32,5.18,5.82,2.09,8.55
Environmental Monitoring,Environmental Monitoring_Tool_5,Description of Environmental Monitoring tool 5,8.68,10,5.69,5.31,7.98,5.31,5.69,2.0,9.02
Environmental Monitoring,Environmental Monitoring_Tool_6,Description of Environmental Monitoring tool 6,7.21,8.11,6.22,4.78,8.64,4.78,6.22,1.97,8.73
Environmental Monitoring,Environmental Monitoring_Tool_7,Description of Environmental Monitoring tool 7,6.49,8.46,6.26,4.74,5.95,4.74,6.26,2.62,8.09
Environmental Monitoring,Environmental Monitoring_Tool_8,Description of Environmental Monitoring tool 8,8.26,8.98,5.53,5.47,6.09,5.47,5.53,2.1,8.65
Environmental Monitoring,Environmental Monitoring_Tool_9,Description of Environmental Monitoring tool 9,6.86,6.97,6.26,4.74,6.37,4.74,6.26,1.68,7.53
Environmental Monitoring,Environmental Monitoring_Tool_10,Description of Environmental Monitoring tool 10,6.18,5.72,6.35,4.65,4.9,4.65,6.35,2.27,10
Environmental Monitoring,Environmental Monitoring_Tool_11,Description of Environmental Monitoring tool 11,7.5,7.88,5.93,5.07,4.57,5.07,5.93,1.79,7.89
Environmental Monitoring,Environmental Monitoring_Tool_12,Description of Environmental Monitoring tool 12,5.93,8.04,6.89,4.11,4.17,4.11,6.89,2.09,7.92
Environmental Monitoring,Environmental Monitoring_Tool_13,Description of Environmental Monitoring tool 13,6.42,5.95,5.73,5.27,7.23,5.27,5.73,2.07,9.57
Environmental Monitoring,Environmental Monitoring_Tool_14,Description of Environmental Monitoring tool 14,7.65,6.48,5.81,5.19,6.51,5.19,5.81,2.33,7.93
Environmental Monitoring,Environmental Monitoring_Tool_15,Description of Environmental Monitoring tool 15,5,7.29,5.9,5.1,6.34,5.1,5.9,2.09,9.08
Environmental Monitoring,Environmental Monitoring_Tool_16,Description of Environmental Monitoring tool 16,7.57,5.78,5.5,5.5,3.43,5.5,5.5,2.32,9.2
Environmental Monitoring,Environmental Monitoring_Tool_17,Description of Environmental Monitoring tool 17,8.82,6.8,5.59,5.41,5.01,5.41,5.59,2.18,9.32
Environmental Monitoring,Environmental Monitoring_Tool_18,Description of Environmental Monitoring tool 18,6.78,7.21,5.59,5.41,3.73,5.41,5.59,2.15,10
Environmental Monitoring,Environmental Monitoring_Tool_19,Description of Environmental Monitoring tool 19,8.2,6.91,6.09,4.91,9.75,4.91,6.09,2.28,7.48
Environmental Monitoring,Environmental Monitoring_Tool_20,Description of Environmental Monitoring tool 20,7.03,5.09,6.33,4.67,8.39,4.67,6.33,1.71,8.44
Environmental Monitoring,Environmental Monitoring_Tool_21,Description of Environmental Monitoring tool 21,7.97,6.77,6.02,4.98,8.78,4.98,6.02,1.63,8.67
Environmental Monitoring,Environmental Monitoring_Tool_22,Description of Environmental Monitoring tool 22,9.68,5.45,5.77,5.23,6.61,5.23,5.77,2.11,8.29
Environmental Monitoring,Environmental Monitoring_Tool_23,Description of Environmental Monitoring tool 23,5.91,6.6,6.15,4.85,6.58,4.85,6.15,1.96,7.52
Environmental Monitoring,Environmental Monitoring_Tool_24,Description of Environmental Monitoring tool 24,7.76,5.99,6.0,5.0,4.29,5.0,6.0,3.26,7.48
Environmental Monitoring,Environmental Monitoring_Tool_25,Description of Environmental Monitoring tool 25,8.73,7.13,6.09,4.91,9.53,4.91,6.09,2.28,7.8
Environmental Monitoring,Environmental Monitoring_Tool_26,Description of Environmental Monitoring tool 26,6.35,7.96,5.9,5.1,4.68,5.1,5.9,2.33,7.91
Environmental Monitoring,Environmental Monitoring_Tool_27,Description of Environmental Monitoring tool 27,8.19,8.72,6.35,4.65,8.06,4.65,6.35,2.22,9.33
Environmental Monitoring,Environmental Monitoring_Tool_28,Description of Environmental Monitoring tool 28,8.37,6.79,6.04,4.96,8.33,4.96,6.04,1.87,7.6
Environmental Monitoring,Environmental Monitoring_Tool_29,Description of Environmental Monitoring tool 29,8.39,7.12,5.9,5.1,3.4,5.1,5.9,1.56,8.48
Environmental Monitoring,Environmental Monitoring_Tool_30,Description of Environmental Monitoring tool 30,7.63,8.06,6.3,4.7,7.22,4.7,6.3,2.14,9.01
Green Cloud Computing,Green Cloud Computing_Tool_1,Description of Green Cloud Computing tool 1,7.81,6.64,5.57,5.43,7.79,5.43,5.57,1.74,9.32
Green Cloud Computing,Green Cloud Computing_Tool_2,Description of Green Cloud Computing tool 2,7.34,7.86,5.98,5.02,8.8,5.02,5.98,2.02,8.47
Green Cloud Computing,Green Cloud Computing_Tool_3,Description of Green Cloud Computing tool 3,7.29,7.37,6.41,4.59,5.79,4.59,6.41,1.95,9.15
Green Cloud Computing,Green Cloud Computing_Tool_4,Description of Green Cloud Computing tool 4,7.11,9.12,6.0,5.0,4.43,5.0,6.0,2.07,7.79
Green Cloud Computing,Green Cloud Computing_Tool_5,Description of Green Cloud Computing tool 5,8.14,10,5.89,5.11,7.97,5.11,5.89,2.08,9.11
Green Cloud Computing,Green Cloud Computing_Tool_6,Description of Green Cloud Computing tool 6,8.69,5.86,5.56,5.44,8.12,5.44,5.56,2.1,8.46
